X,Y,Z,Type,Name,street,HouseNumbe,neighborho,Operator,Seats,Activity,fencing,lighting,handicappe,handicap_1,yearOfEsta,condition,Owner,ForSchool,associatio,SportType,Id
34.763918827000104,31.257552794000002,0,מגרש כדורסל – 19X32 מ',אור,מאיר יערי,50.0,יא,ניהול עצמי,0.0,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,אור,,,3150
34.775130063000105,31.255161367,0,מגרש ספורט משולב – 43X32 מ',אוריין,טבנקין,0.0,ה',ניהול עצמי,0.0,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,אוריין,,,3151
34.775263523,31.254856031,0,אולם ספורט קטן – 15x24 מ',אוריין,טבנקין,0.0,ה',ניהול עצמי,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,אוריין,כיוונים,חוגי ספורט,3152
34.7766780260001,31.243229722,0,אולם ספורט קטן – 20x10 מ',אשכול,מגידו,12.0,ט',ניהול עצמי,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,אשכול,,ג'ודו,3153
34.7763054160001,31.243096622000103,0,מגרש כדורסל – 19X32 מ',אשכול,מגידו,12.0,ט',ניהול עצמי,0.0,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,אשכול,,,3154
34.787806694000004,31.2440310200001,0,מגרש ספורט משולב – 43X32 מ',בארי,אסף שמחוני,483.0,עיר עתיקה,ניהול עצמי,0.0,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,בארי,,,3155
34.7768850190001,31.23748993,0,מגרש ספורט משולב – 43X32 מ',יחדיו,חטיבה 8,12.0,נווה זאב,ניהול עצמי,0.0,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3156
34.784991588000004,31.2373610650001,0,מגרש מיני פיץ',מרגליות,ההגנה,10.0,עיר עתיקה,כיוונים,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,לא,כדורגל,3157
34.7643277190001,31.24716534,0,מגרש כדורגל – 45X90 מ',מגרש כדורגל נאות לון,שמחה הולברג,6.0,נאות לון,כיוונים,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,כיוונים פוטבול וקהילה,כדורגל,3158
34.7631755850001,31.245452766,0,5 מגרשי טניס שדה,נאות לון,שמחה הולברג,6.0,נאות לון,כיוונים,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,חוגי טניס כיוונים וקהילה,טניס שדה,3159
34.7629402860001,31.2467061610001,0,מגרש כדורסל – 19X32 מ',נאות לון,שמחה הולברג,6.0,נאות לון,ניהול עצמי,0.0,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,,נאות לון,,,3160
34.7697978840001,31.251902102,0,מתקן פתוח לכושר גופני,פארק כושר נאות לון,יגאל ידין,6.0,נאות לון,כיוונים,0.0,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,כושר,3161
34.8001690340001,31.228162130999998,0,אצטדיון כדורגל – 105X70 מ',נווה נוי,נווה נוי,0.0,נווה נוי,כיוונים,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,מכבי,כדורגל,3162
34.7838169560001,31.259834062,0,מגרש כדורסל – 19X32 מ',תומר,מבצע נחשון,0.0,ו' החדשה,ניהול עצמי,0.0,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,תומר,,,3163
34.7748347400001,31.259853514,0,מגרש כדורסל – 19X32 מ',"שז""ר",מבצע עובדה,43.0,ו' החדשה,כיוונים,0.0,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,"שז""ר",,,3164
34.7752224270001,31.259817122000104,0,אולם ספורט קטן – 15x24 מ',"שז""ר",מבצע עובדה,43.0,ו' החדשה,כיוונים,0.0,בתיאום בלבד,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,"שז""ר",הפועל,"טנ""ש",3165
34.7871317070001,31.2480305330001,0,אולם ספורט גדול - 45X24 מ',רעות,בזל,0.0,א,ניהול עצמי,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,רעות,"בית""ר",כדורסל,3166
34.786552913,31.2477665590001,0,מגרש ספורט משולב – 43X32 מ',רעות,בזל,0.0,א,ניהול עצמי,0.0,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,רעות,,,3167
